age,gender,topik_level,highest_degree,major_field,university_type,gpa,experience_years,num_projects,internships,certifications,has_portfolio,github_level,job_field,resume_length,cover_letter_score,tailored_resume,english_level,leadership_experience,military_status,pass_screening
31.0,Male,2.0,Master,Economics,SKY,,1.7,5.0,1.0,0.0,1.0,Low,PM,1.0,9.0,0.0,High,0.0,Not Applicable,0.0
25.0,Male,2.0,Bachelor,,SKY,3.57,-0.1,5.0,1.0,1.0,1.0,Medium,PM,,7.0,0.0,High,0.0,Complete,0.0
29.0,Female,5.0,Bachelor,Industrial Eng,Top10,3.62,2.1,1.0,1.0,2.0,0.0,Low,Data Scientist,1.0,8.0,0.0,Medium,1.0,Exempt,0.0
26.0,Male,2.0,Bachelor,Economics,SKY,3.44,0.0,5.0,0.0,1.0,0.0,Medium,Data Analyst,,9.0,1.0,,0.0,Exempt,0.0
23.0,Female,4.0,Bachelor,Economics,SKY,3.22,3.4,5.0,0.0,2.0,1.0,Low,PM,2.0,9.0,1.0,Low,0.0,Exempt,1.0
26.0,Female,5.0,Bachelor,Industrial Eng,Regional,3.02,0.8,2.0,1.0,2.0,1.0,Low,Software Dev,2.0,9.0,1.0,High,0.0,Complete,1.0
33.0,Male,,Bachelor,Data Science,Foreign,3.81,1.7,2.0,1.0,3.0,1.0,Low,Data Scientist,1.0,9.0,0.0,High,0.0,Not Applicable,1.0
28.0,Female,4.0,Master,Data Science,Top10,3.38,2.2,3.0,1.0,0.0,,Medium,Data Analyst,1.0,4.0,1.0,Low,0.0,Exempt,0.0
26.0,Male,1.0,Bachelor,CS,SKY,3.36,2.1,2.0,1.0,0.0,1.0,Low,Software Dev,2.0,9.0,1.0,Medium,0.0,Complete,0.0
,Male,1.0,Bachelor,Industrial Eng,Other,2.9,1.6,3.0,1.0,0.0,,Low,PM,1.0,7.0,1.0,Low,0.0,Exempt,0.0
32.0,Female,0.0,Bachelor,Data Science,Other,3.73,0.7,1.0,,3.0,1.0,Low,PM,1.0,8.0,0.0,,0.0,Complete,0.0
22.0,Male,6.0,Bachelor,Data Science,Top10,3.78,2.8,1.0,0.0,1.0,0.0,Medium,Software Dev,2.0,4.0,1.0,Medium,0.0,Not Applicable,0.0
23.0,Female,1.0,Bachelor,CS,Top10,3.24,1.7,5.0,1.0,1.0,0.0,Medium,Data Scientist,1.0,8.0,1.0,High,1.0,Complete,0.0
