iter	Logloss
0	0.6829992651
1	0.6730594011
2	0.6642503127
3	0.6537372228
4	0.6443161499
5	0.6347341591
6	0.6258196302
7	0.6175414595
8	0.6095420209
9	0.6020142302
10	0.5936471422
11	0.5859785365
12	0.5788555707
13	0.5720433825
14	0.5645002548
15	0.5583427295
16	0.5534047285
17	0.5472505232
18	0.5420156407
19	0.53594634
20	0.5299344007
21	0.5256548396
22	0.5200466115
23	0.51549704
24	0.5102625116
25	0.5049736275
26	0.5001733577
27	0.4961970718
28	0.4919778151
29	0.4878505912
30	0.4833457158
31	0.479657849
32	0.4759499524
33	0.4727753278
34	0.4689238545
35	0.4660238077
36	0.4628694802
37	0.4597895888
38	0.4568845073
39	0.4539502215
40	0.4507259817
41	0.447301402
42	0.4438092288
43	0.4412978737
44	0.4382038547
45	0.4359026737
46	0.4333474095
47	0.4305623052
48	0.4277315335
49	0.4252419252
50	0.4225729472
51	0.4202022375
52	0.4180742301
53	0.4158580194
54	0.4131496199
55	0.4108160438
56	0.4086211248
57	0.4069062286
58	0.4046636053
59	0.4021399556
60	0.3999388394
61	0.3981806046
62	0.3960505588
63	0.3938859431
64	0.391459709
65	0.3892357854
66	0.3872644857
67	0.3851723935
68	0.3832640685
69	0.3815653018
70	0.3792068901
71	0.3773033124
72	0.3754690445
73	0.3734508541
74	0.3714044849
75	0.3696267172
76	0.367908926
77	0.3664326492
78	0.3645486245
79	0.3630138462
80	0.362092594
81	0.3603364227
82	0.359223353
83	0.3578418649
84	0.3560227425
85	0.3545210018
86	0.3527720253
87	0.3515212657
88	0.3499773225
89	0.3486842937
90	0.3472113052
91	0.346180708
92	0.3447362414
93	0.3433461748
94	0.3419286089
95	0.3408754397
96	0.3395278995
97	0.3383005468
98	0.3369612021
99	0.3357774539
100	0.3344663652
101	0.3331146031
102	0.3319972378
103	0.3306878971
104	0.3295629983
105	0.3284289028
106	0.3272821656
107	0.3263348892
108	0.3252108638
109	0.3243116262
110	0.3232491065
111	0.3218696977
112	0.3208209829
113	0.3198135343
114	0.3184902714
115	0.3176954021
116	0.3166387393
117	0.3154540923
118	0.3145556136
119	0.313634264
120	0.3127200348
121	0.3118845825
122	0.3108002877
123	0.3099476801
124	0.3090678817
125	0.308330222
126	0.3073519801
127	0.3065817592
128	0.3054573201
129	0.3048407265
130	0.304032539
131	0.3033261872
132	0.3022840501
133	0.3013194499
134	0.3004177083
135	0.2995714814
136	0.298829681
137	0.298289016
138	0.2977091845
139	0.2968917067
140	0.2961710558
141	0.2953929956
142	0.2945364574
143	0.29365831
144	0.2929577252
145	0.2919353506
146	0.291018674
147	0.2902376106
148	0.2894509816
149	0.2885877442
150	0.2876186505
151	0.2867780143
152	0.285984191
153	0.2851142209
154	0.2842629994
155	0.2837914039
156	0.2830672361
157	0.2820641131
158	0.2812655706
159	0.2806668118
160	0.2799851185
161	0.2792517939
162	0.278712088
163	0.2778226577
164	0.277027148
165	0.2762180952
166	0.2757253468
167	0.2749488855
168	0.2743885295
169	0.2735412511
170	0.2729288094
171	0.2722315539
172	0.2716184604
173	0.2708195299
174	0.2701561603
175	0.2695807245
176	0.2689683906
177	0.2683653397
178	0.2677530373
179	0.2670665754
180	0.2664939349
181	0.2658414093
182	0.2651603385
183	0.2644423755
184	0.2638855549
185	0.2632276629
186	0.2625839559
187	0.2622158564
188	0.2616783551
189	0.2611419736
190	0.2605371396
191	0.2598730746
192	0.2594738804
193	0.2588611754
194	0.2583537704
195	0.2578189252
196	0.257397457
197	0.2569147835
198	0.2564475788
199	0.2558961072
200	0.2552985788
201	0.2548699768
202	0.254402326
203	0.253967384
204	0.2535101261
205	0.2530305189
206	0.2525035315
207	0.2519571983
208	0.2513688237
209	0.2508233309
210	0.2502821119
211	0.2497804442
212	0.2490961161
213	0.2485318425
214	0.2480865874
215	0.2475605222
216	0.2470804431
217	0.2464892272
218	0.2459726817
219	0.2455545676
220	0.2451889329
221	0.2446753732
222	0.2441795341
223	0.2438101296
224	0.2434495631
225	0.2429114631
226	0.242412171
227	0.24204598
228	0.2415097596
229	0.2410533482
230	0.2405411467
231	0.2401053177
232	0.2396090623
233	0.2392970482
234	0.2389639332
235	0.2386742709
236	0.2383040065
237	0.2378980689
238	0.2375119696
239	0.2370338595
240	0.2365629725
241	0.2361325122
242	0.2357327681
243	0.2353878107
244	0.2350150113
245	0.2345215779
246	0.2341015166
247	0.2336438676
248	0.2331141727
249	0.2327411318
250	0.2323005803
251	0.2319875633
252	0.2316375435
253	0.2312570398
254	0.2309017672
255	0.2304507771
256	0.2300134463
257	0.2296741202
258	0.2294117419
259	0.2291027185
260	0.2287522624
261	0.22840066
262	0.2280717981
263	0.2277559375
264	0.2274233154
265	0.2270282738
266	0.2266351258
267	0.2262409805
268	0.2258660889
269	0.2254693117
270	0.2250793262
271	0.2247613591
272	0.2243749741
273	0.2240822855
274	0.223742279
275	0.223654464
276	0.2232203167
277	0.2229136058
278	0.2226553495
279	0.2222872471
280	0.2219367647
281	0.2215994874
282	0.2213330584
283	0.2209994406
284	0.2207252779
285	0.2203831168
286	0.22000329
287	0.219691166
288	0.2194073677
289	0.2191307533
290	0.2187380109
291	0.218431768
292	0.2180173853
293	0.2177001617
294	0.2174035791
295	0.2170094467
296	0.2167574553
297	0.2163640417
298	0.2160088681
299	0.2154812374
300	0.2152050226
301	0.2149349047
302	0.2144745584
303	0.2141046206
304	0.2137830788
305	0.2135549535
306	0.2132145379
307	0.2128194538
308	0.2125815905
309	0.2122133089
310	0.2118973269
311	0.2116651671
312	0.2113432681
313	0.211084251
314	0.21079052
315	0.2105775865
316	0.2103309712
317	0.2100210544
318	0.2096539184
319	0.2093938098
320	0.2091537638
321	0.2089496502
322	0.2087375513
323	0.2084621573
324	0.208134512
325	0.2078931068
326	0.2075166474
327	0.2072113386
328	0.2069854781
329	0.2065877315
330	0.2063246328
331	0.2060801696
332	0.2058622135
333	0.2055732769
334	0.2052380671
335	0.2048209906
336	0.2044897229
337	0.2041708161
338	0.2038597893
339	0.2035897072
340	0.2032970954
341	0.203061185
342	0.202775221
343	0.2025392399
344	0.2022564194
345	0.2019415238
346	0.201790525
347	0.2015552344
348	0.2013097053
349	0.2010673634
