iter	Passed	Remaining
0	156	155872
1	165	82372
2	172	57282
3	181	45237
4	192	38296
5	198	32828
6	202	28689
7	206	25614
8	210	23182
9	214	21271
10	219	19694
11	223	18384
12	228	17343
13	233	16418
14	237	15616
15	241	14870
16	245	14205
17	249	13586
18	253	13084
19	257	12627
20	261	12208
21	265	11803
22	270	11472
23	274	11156
24	278	10857
25	282	10572
26	287	10347
27	290	10090
28	294	9853
29	298	9640
30	302	9465
31	306	9267
32	309	9082
33	313	8912
34	334	9213
35	337	9050
36	341	8885
37	345	8753
38	350	8636
39	354	8500
40	357	8364
41	361	8256
42	366	8152
43	369	8034
44	373	7931
45	379	7869
46	383	7781
47	387	7688
48	391	7599
49	395	7519
50	399	7430
51	403	7351
52	407	7280
53	411	7212
54	415	7146
55	419	7077
56	424	7023
57	428	6956
58	431	6889
59	435	6822
60	440	6774
61	443	6713
62	447	6652
63	450	6594
64	455	6550
65	459	6499
66	463	6448
67	466	6397
68	471	6355
69	474	6309
70	479	6269
71	483	6225
72	488	6202
73	491	6155
74	495	6110
75	499	6072
76	504	6043
77	507	6001
78	511	5959
79	516	5935
80	519	5898
81	523	5860
82	527	5827
83	532	5807
84	536	5778
85	540	5746
86	545	5728
87	550	5701
88	554	5671
89	558	5647
90	564	5638
91	574	5669
92	579	5651
93	583	5627
94	588	5601
95	593	5586
96	597	5560
97	601	5535
98	605	5512
99	610	5494
100	614	5470
101	618	5448
102	623	5430
103	627	5407
104	631	5385
105	636	5364
106	641	5354
107	645	5335
108	650	5315
109	655	5302
110	659	5283
111	663	5262
112	668	5246
113	672	5227
114	691	5323
115	695	5301
116	699	5282
117	704	5268
118	708	5245
119	712	5225
120	717	5213
121	722	5196
122	725	5175
123	771	5450
124	775	5431
125	782	5429
126	792	5447
127	800	5451
128	804	5430
129	808	5409
130	813	5399
131	818	5379
132	821	5358
133	826	5339
134	830	5322
135	834	5302
136	838	5281
137	843	5268
138	858	5319
139	862	5300
140	866	5280
141	870	5261
142	875	5248
143	879	5230
144	883	5211
145	888	5199
146	893	5186
147	897	5167
148	902	5152
149	907	5142
150	911	5126
151	917	5116
152	922	5104
153	926	5087
154	933	5086
155	938	5075
156	943	5064
157	947	5048
158	952	5036
159	956	5020
160	960	5002
161	965	4996
162	970	4981
163	973	4964
164	978	4950
165	982	4937
166	986	4920
167	990	4904
168	995	4894
169	999	4881
170	1003	4865
171	1007	4851
172	1012	4840
173	1016	4826
174	1020	4811
175	1025	4803
176	1029	4788
177	1033	4774
178	1037	4760
179	1043	4752
180	1048	4743
181	1052	4731
182	1058	4725
183	1062	4711
184	1066	4698
185	1072	4694
186	1077	4682
187	1080	4668
188	1085	4657
189	1089	4646
190	1093	4633
191	1097	4620
192	1103	4613
193	1107	4599
194	1111	4587
195	1115	4577
196	1120	4567
197	1124	4555
198	1129	4544
199	1134	4537
200	1138	4526
201	1142	4514
202	1147	4505
203	1151	4494
204	1156	4483
205	1160	4472
206	1166	4470
207	1170	4458
208	1175	4447
209	1180	4439
210	1184	4428
